Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q4,Millennial,2372200,4797483,1914161,698134,329717,246859,329019,279381,1000212,2425283,1309959,1052074,63250
2017:Q1,Silent,20700536,21727536,5121353,844631,5950467,2666292,536616,2062729,4545448,1027000,692011,197652,137337
2017:Q1,BabyBoom,51892652,56750050,11383426,2248215,12225352,10629706,5681160,5715199,8866992,4857398,3581642,974888,300868
2017:Q1,GenX,15870217,21336455,6697804,1369964,3569619,2230737,2458273,2143141,2866917,5466238,3967618,1379701,118919
2017:Q1,Millennial,2573817,5108278,2040385,722391,379304,263287,364259,288294,1050358,2534462,1395258,1078183,61021
2017:Q2,Silent,20548600,21555064,5064604,833002,5947317,2605270,542305,2091014,4471552,1006464,676156,199725,130583
2017:Q2,BabyBoom,52724333,57560450,11576456,2243438,12586647,10685692,5725286,5881436,8861495,4836117,3537257,982096,316764
2017:Q2,GenX,16929764,22445594,6957322,1394389,3866322,2327588,2603752,2372046,2924175,5515830,4004988,1384975,125867
2017:Q2,Millennial,2720075,5383673,2158851,735240,403605,281047,392554,356897,1055479,2663598,1484160,1115913,63525
2017:Q3,Silent,20295235,21277880,5000447,821262,5952648,2543534,549356,2022861,4387772,982646,661181,200265,121200
2017:Q3,BabyBoom,53409014,58228472,11775464,2236673,12977208,10741241,5789460,5861948,8846479,4819458,3505496,986226,327736
2017:Q3,GenX,17977016,23546641,7191192,1415611,4180433,2424951,2771733,2534084,3028638,5569625,4047610,1396105,125910
2017:Q3,Millennial,2860671,5657485,2294544,742607,432092,299451,426179,379630,1082982,2796814,1568514,1166588,61712
2017:Q4,Silent,20223820,21186964,4906122,818246,6094748,2481686,556722,1977960,4351480,963143,645412,202867,114864
2017:Q4,BabyBoom,54499642,59315456,11928664,2245154,13635116,10799547,5872341,5888685,8945949,4815815,3471447,999313,345055
2017:Q4,GenX,19214810,24840379,7414518,1447877,4613989,2523011,2958704,2716552,3165728,5625570,4084839,1411593,129138
2017:Q4,Millennial,3056678,5986009,2415395,756359,493527,318183,464565,416615,1121364,2929330,1650647,1217013,61670
2018:Q1,Silent,19797522,20730778,4846647,809814,5881769,2417771,551498,1907728,4315551,933256,626689,199173,107394
2018:Q1,BabyBoom,54889913,59638291,12160961,2252415,13645621,10839921,5777073,5863838,9098463,4748379,3405202,983022,360155
2018:Q1,GenX,20151494,25787198,7696398,1484895,4775272,2620480,2990456,2881919,3337779,5635704,4106162,1395136,134406
2018:Q1,Millennial,3227371,6282724,2584183,781756,478087,339005,472818,440919,1185955,3055353,1750636,1242545,62172
2018:Q2,Silent,19452951,20361996,4757297,801563,5780300,2355070,551974,1854211,4261581,909044,610262,199558,99224
2018:Q2,BabyBoom,55413896,60124229,12292087,2258207,13868738,10890466,5767737,5871908,9175086,4710333,3352880,985568,371885
2018:Q2,GenX,21103225,26785481,7929921,1519061,5032495,2719036,3101360,3062626,3420982,5682256,4144307,1395213,142736
2018:Q2,Millennial,3310040,6512989,2697347,802069,487879,359439,497183,476286,1192787,3202949,1859402,1277835,65712
2018:Q3,Silent,19285040,20172101,4672645,790583,5851120,2294147,558185,1787350,4218071,887061,594934,199724,92403
