UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2023,19,4388829,2251142,2137687,1571124,1480532,327939,315603,56318,52279,136833,135136,7457,6943,151471,147194,1711509,1616999,391432,378461,112239,106235,186287,182839,16906,15956,1669468,1588194,1113584,1048358,292510,281884,17880,17020,129079,127695,5141,4875,111274,108362,1217107,1149218,339596,328681,53651,51740,168063,165076,11702,11210,581674,549493,457540,432174,35429,33719,38438,35259,7754,7441,2316,2068,40197,38832,494402,467781,51836,49780,58588,54495,18224,17763,5204,4746
R,1,2023,20,4399106,2249513,2149593,1567757,1487164,333289,324473,56833,52095,139137,137423,7414,7060,145083,141378,1702082,1617677,393420,384474,111241,104623,186546,183119,16553,15856,1669811,1601640,1111097,1054957,297486,290468,17841,16952,131455,130122,5217,4970,106715,104171,1210112,1151475,342159,335222,52764,50726,168747,166150,11657,11125,579702,547953,456660,432207,35803,34005,38992,35143,7682,7301,2197,2090,38368,37207,491970,466202,51261,49252,58477,53897,17799,16969,4896,4731
R,1,2023,21,4565190,2315701,2249489,1612420,1556151,349365,347014,56229,51625,150505,149245,7623,7560,139559,137894,1740888,1683138,407379,405736,108405,102103,196158,194229,16908,16647,1732834,1695376,1151868,1117111,312391,311823,17715,17383,142945,141637,5382,5435,102533,101987,1246492,1211249,355285,355773,51204,49906,178981,177342,11940,11944,582867,554113,460552,439040,36974,35191,38514,34242,7560,7608,2241,2125,37026,35907,494396,471889,52094,49963,57201,52197,17177,16887,4968,4703
R,1,2023,22,4819464,2439360,2380104,1694991,1643763,369896,368442,57401,52701,172277,171334,8400,8188,136395,135676,1820172,1768155,426078,426490,108240,101538,217469,216399,17712,17304,1845412,1815589,1224697,1195411,331691,332147,18315,17778,164288,163408,6132,5921,100289,100924,1316941,1288174,373182,375567,50813,49397,200138,199432,12826,12446,593948,564515,470294,448352,38205,36295,39086,34923,7989,7926,2268,2267,36106,34752,503231,479981,52896,50923,57427,52141,17331,16967,4886,4858
R,1,2023,23,4653401,2359354,2294047,1653211,1595390,348087,348666,54594,49696,168159,165123,8156,7768,127147,127404,1769733,1712370,400356,402795,102692,95973,209708,207002,16906,16253,1791158,1754770,1201096,1165827,312264,314074,17480,16781,160617,157620,5992,5568,93709,94900,1287182,1253141,351038,354894,48320,46703,193773,191179,12235,11608,568196,539277,452115,429563,35823,34592,37114,32915,7542,7503,2164,2200,33438,32504,482551,459229,49318,47901,54372,49270,15935,15823,4671,4645
R,1,2023,24,4582078,2324326,2257752,1631314,1570307,339743,340515,53676,49153,167938,165514,7965,7664,123690,124599,1744669,1684776,389521,393012,100980,95287,208374,205972,16553,15846,1767640,1728770,1188549,1148875,304683,306980,16799,16074,160379,158003,5834,5526,91396,93312,1272465,1234851,341683,346528,47276,46251,192724,190612,12036,11454,556686,528982,442765,421432,35060,33535,36877,33079,7559,7511,2131,2138,32294,31287,472204,449925,47838,46484,53704,49036,15650,15360,4517,4392
R,1,2023,25,4406771,2237154,2169617,1567862,1505200,322877,323220,51930,47154,170410,168155,7717,7283,116358,118605,1674513,1613972,369242,372520,97005,91671,208540,206796,15594,14906,1702498,1662657,1142481,1100785,289642,291589,15837,15190,163100,160910,5638,5261,85800,88922,1221247,1182483,323790,328926,44892,44142,193702,192284,11335,10812,534656,506960,425381,404415,33235,31631,36093,31964,7310,7245,2079,2022,30558,29683,453266,431489,45452,43594,52113,47529,14838,14512,4259,4094
R,1,2023,26,4371047,2216669,2154378,1558807,1494498,314084,317329,51674,46958,171075,171978,7556,7147,113473,116468,1662549,1601240,358620,364912,96173,91434,208234,209794,15441,14795,1685106,1651404,1135276,1093814,281260,286118,15488,14741,164045,164838,5492,5275,83545,86618,1211892,1173368,313907,321852,43775,43419,194130,195424,11228,10802,531563,502974,423531,400684,32824,31211,36186,32217,7030,7140,2064,1872,29928,29850,450657,427872,44713,43060,52398,48015,14104,14370,4213,3993
R,1,2023,27,4388249,2220653,2167596,1562111,1504083,315698,320627,52190,47171,172196,174563,7599,7240,110859,113912,1663325,1608108,358770,367043,96539,91783,208194,210904,15417,14968,1691220,1662373,1141459,1101808,282655,288779,15412,14554,164893,167194,5582,5393,81219,84645,1215712,1179353,314061,323316,43770,43380,193918,196686,11290,11043,529433,505223,420652,402275,33043,31848,36778,32617,7303,7369,2017,1847,29640,29267,447613,428755,44709,43727,52769,48403,14276,14218,4127,3925
R,1,2023,28,4413667,2225422,2188245,1567304,1514670,318796,331344,51824,47408,171465,174311,7601,7366,108432,113146,1666089,1618039,360229,376738,96227,92681,206414,210216,15417,15008,1701926,1685006,1151219,1114207,286084,298999,15478,14866,164281,167331,5639,5440,79225,84163,1223459,1191119,316186,332759,43687,44389,192587,196610,11375,11057,523496,503239,416085,400463,32712,32345,36346,32542,7184,6980,1962,1926,29207,28983,442630,426920,44043,43979,52540,48292,13827,13606,4042,3951
R,1,2023,29,4451037,2240185,2210852,1578694,1526739,322711,339124,52163,47928,173828,178076,7569,7261,105220,111724,1674204,1628656,362480,383621,95342,93593,208159,213199,15396,14802,1722423,1709446,1166236,1127715,290570,307190,15720,15319,166870,170962,5533,5289,77494,82971,1236649,1203639,319611,339955,43392,45319,194852,199495,11300,10854,517762,501406,412458,399024,32141,31934,36443,32609,6958,7114,2036,1972,27726,28753,437555,425017,42869,43666,51950,48274,13307,13704,4096,3948
R,1,2023,30,4553342,2288053,2265289,1615682,1566268,328729,347714,53542,49355,176927,183047,7418,7280,105755,111625,1711832,1668116,367668,390636,98309,96534,211062,217940,15226,14878,1765318,1757883,1199192,1162497,296572,315121,16345,15808,169968,176010,5549,5316,77692,83131,1269864,1238441,324699,346681,45319,47129,197731,204601,11293,10909,522735,507406,416490,403771,32157,32593,37197,33547,6959,7037,1869,1964,28063,28494,441968,429675,42969,43955,52990,49405,13331,13339,3933,3969
R,1,2023,31,4605653,2303409,2302244,1632350,1593011,329280,354470,53389,49029,178286,187525,7696,7332,102408,110877,1725230,1693816,366466,396501,97560,96710,211054,222402,15379,14953,1788477,1800632,1222642,1195031,296874,321010,16687,16283,171446,180377,5751,5481,75077,82450,1290822,1270128,323513,351578,45179,47967,198219,208818,11514,11173,514932,501612,409708,397980,32406,33460,36702,32746,6840,7148,1945,1851,27331,28427,434408,423688,42953,44923,52381,48743,12835,13584,3865,3780
R,1,2023,32,4724461,2363971,2360490,1682228,1637499,334254,360814,54750,50302,183061,193913,7684,7531,101994,110431,1774567,1738161,370101,401550,99515,99154,216326,228188,15377,15162,1840815,1853965,1265883,1235739,301559,327233,16939,16604,176102,186862,5689,5554,74643,81973,1333566,1310611,326923,356620,45736,49123,203396,214944,11403,11230,523156,506525,416345,401760,32695,33581,37811,33698,6959,7051,1995,1977,27351,28458,441001,427550,43178,44930,53779,50031,12930,13244,3974,3932
R,1,2023,33,4639533,2317956,2321577,1651227,1609289,327457,354868,52810,48817,180583,194692,7534,7113,98345,106798,1740558,1706268,361257,393531,96611,97079,212301,227776,14908,14459,1819163,1833291,1254179,1221287,296110,322593,16576,16474,174101,187939,5681,5318,72516,79680,1320059,1293647,320059,350555,45283,49080,200278,215181,11275,10975,498793,488286,397048,388002,31347,32275,36234,32343,6482,6753,1853,1795,25829,27118,420499,412621,41198,42976,51328,47999,12023,12595,3633,3484
R,1,2023,34,4553719,2267744,2285975,1623710,1591384,311246,341695,51741,48705,180098,195063,7137,7069,93812,102059,1708663,1684036,342812,377999,93933,95626,210581,226709,14270,14028,1781141,1808648,1235484,1211805,281675,310426,16213,16257,173617,188518,5364,5308,68788,76334,1297748,1281203,303903,336348,43493,48137,198826,214712,10817,10630,486603,477327,388226,379579,29571,31269,35528,32448,6481,6545,1773,1761,25024,25725,410915,402833,38909,41651,50440,47489,11755,11997,3453,3398
R,1,2023,35,4471511,2227770,2243741,1605707,1569629,300692,330905,50731,47151,173072,189364,7070,6843,90498,99849,1687679,1660479,330793,365850,92303,93997,201986,219745,14033,13755,1751577,1776754,1224725,1197619,272198,301055,15748,15444,166741,183000,5319,5148,66846,74488,1285208,1265473,293509,326075,43028,47237,190770,208160,10686,10359,476193,466987,380982,372010,28494,29850,34983,31707,6331,6364,1751,1695,23652,25361,402471,395006,37284,39775,49275,46760,11216,11585,3347,3396
R,1,2023,36,4456984,2218088,2238896,1605504,1574121,295960,326682,50475,47644,170878,186833,7108,6778,88163,96838,1685345,1661942,324354,360121,92015,94471,199159,216031,13929,13285,1745179,1774155,1227036,1203800,267862,297194,15455,15342,164701,180612,5367,5035,64758,72172,1285649,1269233,287663,321028,42610,47207,188134,204811,10599,10012,472909,464741,378468,370321,28098,29488,35020,32302,6177,6221,1741,1743,23405,24666,399696,392709,36691,39093,49405,47264,11025,11220,3330,3273
R,1,2023,37,4504217,2242747,2261470,1628915,1595263,296641,326737,51237,47831,171613,189045,6977,6808,87364,95786,1707969,1682346,324586,358664,93297,94943,199101,217598,13679,13541,1765819,1795738,1247076,1222776,268615,298044,15209,15705,165494,182792,5299,5146,64126,71275,1305099,1287609,287888,320422,43013,48117,188286,206434,10345,10255,476928,465732,381839,372487,28026,28693,36028,32126,6119,6253,1678,1662,23238,24511,402870,394737,36698,38242,50284,46826,10815,11164,3334,3286
R,1,2023,38,4410135,2191228,2218907,1595058,1566865,285410,317995,49869,47284,170446,188231,6762,6646,83683,91886,1670726,1649992,311100,348254,90795,93608,196834,215359,13371,13116,1729978,1762527,1224989,1201478,259304,290172,14880,15303,164319,182301,5094,4965,61392,68308,1280450,1263334,277120,311309,41899,47085,186182,204701,10167,9936,461250,456380,370069,365387,26106,27823,34989,31981,6127,5930,1668,1681,22291,23578,390276,386658,33980,36945,48896,46523,10652,10658,3204,3180
R,1,2023,39,4357755,2161526,2196229,1576763,1552160,280579,313679,49499,46681,166540,186347,6610,6645,81535,90717,1650264,1634210,305708,342812,90143,93665,191840,212631,13007,13092,1706489,1743246,1211442,1188712,254654,286477,14816,14983,160875,180580,4980,4975,59722,67519,1265173,1249726,271936,306959,41787,47499,181741,202260,9873,9908,455037,452983,365321,363448,25925,27202,34683,31698,5665,5767,1630,1670,21813,23198,385091,384484,33772,35853,48356,46166,10099,10371,3134,3184
